2,1,13,1,$
5,5,11,5,$
5,13,8,13,$
5,24,10,24,|
8,13,8,23,-
8,23,11,23,|
10,24,13,24,$
11,5,11,10,-
11,10,11,15,=
11,15,11,20,-
11,20,11,23,-
11,20,13,20,|
13,1,13,7,=
13,1,19,1,|
13,7,15,7,|
13,15,13,20,=
13,20,13,24,-
13,20,24,20,|
15,7,15,16,=
15,7,19,7,|
19,1,24,1,|
19,3,19,7,-
19,7,23,7,|
23,4,23,7,=
24,1,24,12,-
24,12,24,20,=
24,20,24,22,=
-
1,1,1,4,=
1,4,1,8,=
1,8,1,15,-
1,15,1,19,=
1,15,4,15,|
3,12,6,12,|
4,15,4,21,-
4,15,8,15,|
4,21,4,24,-
4,21,11,21,$
6,12,9,12,|
6,23,15,23,$
8,15,11,15,|
9,4,9,12,-
9,4,15,4,|
9,12,12,12,$
11,15,15,15,$
15,1,15,4,-
15,4,15,15,=
15,4,21,4,|
15,15,15,23,-
15,15,19,15,$
15,23,20,23,$
19,15,22,15,|
21,4,24,4,$
22,9,22,15,-
22,15,24,15,|
-
0,1,0,10,-
0,10,0,13,-
0,13,0,20,-
0,20,0,22,=
0,20,3,20,|
0,22,3,22,|
0,24,3,24,$
3,0,3,13,-
3,0,7,0,|
3,13,3,20,=
3,20,3,22,-
3,20,11,20,$
3,22,3,24,=
3,22,15,22,|
5,9,5,11,-
5,11,5,16,-
5,11,11,11,$
7,0,20,0,$
11,3,11,9,-
11,3,18,3,|
11,9,11,11,=
11,9,15,9,|
15,9,15,22,-
20,0,20,10,=
20,0,24,0,$
21,24,24,24,|
24,0,24,17,-
24,17,24,24,-
-
0,1,9,1,|
0,13,3,13,$
0,19,3,19,$
3,13,3,16,-
3,16,3,19,-
3,16,9,16,|
3,19,3,22,-
3,22,13,22,|
5,20,9,20,$
9,1,9,4,-
9,4,9,16,-
9,4,19,4,|
9,16,9,20,-
9,20,18,20,|
13,22,16,22,$
18,20,18,24,-
18,20,20,20,$
18,24,23,24,$
19,4,21,4,|
20,11,20,20,-
20,11,23,11,$
20,20,20,22,=
20,20,24,20,|
21,1,21,4,-
21,1,23,1,$
24,16,24,20,=
24,20,24,22,=
-
0,21,6,21,$
2,9,6,9,|
6,9,6,21,=
6,21,6,24,-
6,21,17,21,|
6,24,8,24,|
8,6,8,13,-
8,6,17,6,|
8,19,17,19,|
17,1,17,6,=
17,6,17,19,-
17,6,21,6,|
17,19,17,21,=
17,19,19,19,|
17,21,19,21,|
19,11,19,14,=
19,11,22,11,|
19,14,19,19,-
19,14,21,14,$
19,19,24,19,|
19,21,19,23,=
21,1,21,6,=
21,6,23,6,$
23,1,23,6,-
23,6,23,14,=
24,0,24,16,-
24,16,24,19,=
-
1,0,1,3,-
1,0,16,0,$
1,3,1,12,=
1,12,1,19,-
1,12,11,12,$
1,19,1,24,-
1,19,13,19,$
1,24,14,24,|
5,1,10,1,|
5,10,13,10,$
10,1,10,7,-
10,1,24,1,|
13,5,13,10,-
13,10,13,19,=
13,19,13,22,=
13,22,15,22,=
14,3,14,24,=
14,3,22,3,|
14,24,22,24,$
15,18,15,22,=
15,18,22,18,$
22,3,22,6,-
22,18,22,24,-
22,18,24,18,|
22,24,24,24,|
24,1,24,4,-
24,4,24,18,-
24,18,24,20,-
