0,1,0,9,-
0,9,8,9,|
1,0,1,2,-
1,0,7,0,|
1,2,1,8,-
1,2,8,2,|
1,8,6,8,|
2,4,2,6,-
2,4,6,4,|
6,4,6,8,=
7,0,9,0,$
8,2,8,9,-
9,0,9,5,-
9,5,9,8,-
-
0,0,0,3,-
0,0,7,0,|
0,3,0,6,-
0,3,4,3,|
0,6,0,8,-
1,9,4,9,|
4,3,4,9,=
4,3,8,3,|
4,9,7,9,|
7,0,9,0,|
7,4,7,9,=
7,9,9,9,|
8,3,8,7,-
9,0,9,2,-
-
0,0,0,7,-
0,7,3,7,|
0,9,3,9,|
3,0,3,4,=
3,0,9,0,|
3,4,3,7,-
3,4,6,4,|
3,7,3,9,-
3,7,9,7,|
3,9,5,9,$
5,3,9,3,|
5,9,7,9,|
9,3,9,7,-
9,7,9,9,-
-
0,0,2,0,|
0,2,0,5,-
0,2,2,2,|
0,5,2,5,$
0,8,2,8,|
2,0,2,2,-
2,0,4,0,|
2,2,9,2,|
2,5,2,8,-
2,5,5,5,|
2,8,8,8,|
4,0,8,0,$
8,4,8,8,-
9,2,9,9,-
-
0,0,0,8,-
0,0,4,0,$
2,1,2,9,-
2,9,8,9,|
4,0,4,3,-
4,0,8,0,|
4,3,4,7,-
4,7,7,7,|
5,2,5,4,-
5,2,8,2,|
5,4,5,6,-
5,4,7,4,$
8,0,8,2,-
8,2,8,9,-
-
0,0,0,3,-
0,3,0,8,-
0,3,2,3,$
2,0,2,3,-
2,0,5,0,|
2,3,2,9,=
2,3,4,3,|
2,9,8,9,|
4,3,4,6,-
4,6,4,8,-
5,0,5,5,-
5,0,8,0,|
8,3,8,6,-
8,6,8,9,-
