0,2,0,6,-
0,2,24,2,$
0,6,18,6,|
0,9,2,9,|
0,12,0,22,-
0,12,2,12,|
0,22,22,22,$
1,0,6,0,|
2,9,2,12,-
2,9,22,9,|
2,12,11,12,|
4,21,8,21,|
6,0,18,0,|
6,24,22,24,|
8,21,11,21,|
11,12,11,21,-
11,12,24,12,|
11,21,19,21,|
18,0,24,0,|
18,3,18,6,-
18,3,20,3,|
18,6,22,6,|
22,22,22,24,-
22,24,24,24,$
24,0,24,2,-
24,2,24,12,=
24,12,24,16,=
-
0,3,3,3,|
0,15,3,15,|
0,23,7,23,$
2,24,22,24,|
3,0,3,3,-
3,3,3,15,-
3,3,6,3,$
6,0,6,3,-
6,3,6,7,-
6,3,14,3,|
7,4,7,23,-
7,23,14,23,|
10,0,14,0,$
14,0,14,3,-
14,0,17,0,|
14,3,14,21,-
14,21,14,23,-
14,21,19,21,$
14,23,19,23,|
17,0,17,3,-
19,0,19,21,-
19,0,21,0,|
19,21,22,21,|
21,0,21,7,-
21,7,21,19,-
21,19,23,19,|
22,21,22,24,=
-
0,5,0,21,-
0,21,4,21,$
1,24,4,24,|
4,21,4,24,-
4,21,10,21,|
4,24,20,24,$
5,0,10,0,|
10,0,10,4,=
10,0,15,0,$
10,4,10,21,-
10,4,14,4,|
10,21,10,23,-
11,13,11,17,-
11,13,14,13,|
14,1,14,4,-
14,4,14,8,=
14,4,22,4,|
14,8,14,13,-
14,8,21,8,|
14,13,14,18,-
14,13,21,13,|
22,1,22,4,-
22,4,22,21,-
22,4,24,4,|
22,21,22,23,-
22,21,24,21,|
24,0,24,4,-
-
0,3,0,7,-
0,3,7,3,|
0,7,0,24,-
0,24,3,24,|
3,24,17,24,|
5,10,5,22,-
5,10,11,10,|
6,0,17,0,|
7,3,15,3,|
11,10,17,10,$
17,0,17,10,-
17,10,17,24,-
17,10,19,10,|
19,0,19,10,-
19,0,23,0,$
19,10,19,23,-
19,10,22,10,|
19,23,22,23,|
22,1,22,4,-
22,4,22,10,=
22,10,24,10,|
22,14,22,23,=
22,23,24,23,|
23,0,23,2,-
24,3,24,10,-
24,10,24,17,-
24,20,24,23,=
-
0,0,0,2,=
0,0,17,0,|
0,2,0,22,-
0,2,2,2,|
2,2,2,8,-
2,8,2,16,=
2,8,14,8,|
3,4,11,4,|
5,24,23,24,$
7,17,14,17,|
8,1,14,1,$
11,4,14,4,|
14,1,14,4,-
14,1,24,1,|
14,4,14,8,-
14,4,17,4,|
14,8,14,12,-
14,8,23,8,|
14,12,14,17,-
14,17,20,17,$
17,4,21,4,|
18,2,23,2,|
20,17,20,20,-
23,2,23,8,-
23,8,23,22,-
23,22,23,24,-
24,1,24,11,-
-
0,3,4,3,$
0,7,6,7,$
0,10,0,12,-
0,10,3,10,|
0,18,3,18,|
0,24,3,24,|
1,0,22,0,|
3,4,6,4,|
3,10,3,18,=
3,10,6,10,|
3,18,3,24,-
3,18,22,18,|
3,24,20,24,|
4,3,22,3,|
6,4,6,7,-
6,7,6,10,-
6,7,9,7,|
6,10,21,10,|
9,4,9,7,-
9,4,16,4,|
9,7,21,7,|
22,0,22,3,-
22,3,22,18,-
22,18,22,20,-
22,18,24,18,$
24,8,24,18,=
24,18,24,22,-
