0,0,0,21,-
0,0,3,0,|
1,13,7,13,|
3,0,13,0,|
7,3,7,10,-
7,3,13,3,|
7,13,7,24,-
7,24,13,24,$
13,0,13,3,-
13,0,16,0,|
13,3,13,24,-
13,3,16,3,$
13,24,18,24,|
16,3,16,7,-
16,3,22,3,|
16,7,16,14,-
18,7,18,24,=
18,24,23,24,|
22,0,22,3,=
22,0,24,0,|
22,3,22,13,-
22,3,24,3,$
22,13,22,21,-
22,21,22,23,-
23,8,23,12,-
23,12,23,24,-
24,3,24,10,-
-
0,0,0,16,-
0,0,4,0,|
0,16,3,16,|
0,22,0,24,=
0,22,20,22,|
0,24,5,24,$
1,17,1,21,-
1,17,6,17,|
3,7,3,16,-
3,16,5,16,|
4,0,4,14,=
4,0,11,0,|
5,10,5,16,=
6,17,11,17,$
11,0,11,10,-
11,0,17,0,|
11,10,11,17,-
11,10,20,10,|
17,0,17,7,-
20,1,20,5,-
20,5,20,10,-
20,10,20,22,-
20,10,23,10,|
20,22,20,24,-
20,22,24,22,|
23,0,23,2,-
23,2,23,10,-
-
0,0,0,2,-
0,2,6,2,|
2,0,6,0,|
6,0,6,2,=
6,2,6,14,-
6,14,6,23,-
6,14,13,14,|
7,24,10,24,|
8,4,8,6,-
8,4,13,4,|
10,16,10,24,-
10,24,13,24,|
13,0,13,4,-
13,4,13,14,-
13,14,13,18,-
13,14,15,14,$
13,18,13,24,=
13,18,19,18,|
15,21,15,24,-
15,24,23,24,|
19,8,19,18,-
19,8,24,8,|
19,18,23,18,|
23,18,23,24,=
24,0,24,3,-
24,3,24,8,=
24,8,24,23,-
-
0,1,0,23,-
0,23,16,23,|
1,15,1,19,-
1,19,1,22,-
1,19,6,19,|
2,0,2,4,-
2,0,16,0,|
2,4,5,4,$
6,9,6,19,-
6,19,16,19,|
16,0,16,19,-
16,19,16,23,-
16,19,21,19,|
16,23,19,23,|
18,3,18,10,-
18,3,21,3,|
18,10,18,16,=
18,21,21,21,|
19,23,23,23,|
21,0,21,3,=
21,0,23,0,|
21,3,21,19,=
21,19,21,21,-
21,19,23,19,|
21,21,24,21,$
23,0,23,3,-
24,4,24,21,-
-
0,0,8,0,|
0,10,0,13,-
0,13,0,23,-
0,23,2,23,|
1,6,1,16,-
1,16,8,16,|
2,18,2,23,-
2,18,6,18,|
3,22,6,22,$
6,18,6,22,-
6,18,15,18,|
6,22,6,24,=
6,22,14,22,|
8,0,8,5,=
8,5,8,16,-
8,5,15,5,|
8,16,11,16,|
10,0,15,0,$
11,16,13,16,|
15,0,15,5,-
15,5,15,18,-
15,5,20,5,|
15,18,23,18,|
20,1,20,5,=
20,5,20,13,-
20,5,23,5,|
23,2,23,5,-
-
0,3,4,3,|
0,20,0,24,-
0,20,4,20,|
1,0,4,0,|
4,0,4,3,-
4,0,15,0,|
4,3,4,20,-
4,3,8,3,$
4,20,4,24,-
4,20,9,20,|
8,3,8,8,-
8,8,8,18,-
8,8,19,8,$
8,18,22,18,|
9,5,15,5,|
9,20,9,22,-
9,20,21,20,|
9,22,9,24,-
13,23,24,23,|
15,0,15,5,-
15,0,19,0,$
19,4,19,8,=
19,4,21,4,|
21,4,21,10,-
21,20,23,20,|
22,18,24,18,$
24,18,24,23,-
